kanji,count,strokes,translation,kun_readings,on_readings,radical_basis,radical_meaning,kun_romaji,on_romaji
悩,4,10,"trouble, worry, in pain, distress, illness","なや.む, なや.ます, なや.ましい, なやみ",ノウ,心,heart,"naya.mu, naya.masu, naya.mashii, nayami",nou
並,9,8,"row, and, besides, as well as, line up, rank with, rival, equal","な.み, なみ, なら.べる, なら.ぶ, なら.びに","ヘイ, ホウ",一,one,"na.mi, nami, nara.beru, nara.bu, nara.bini","hei, hou"
慣,8,14,"accustomed, get used to, become experienced","な.れる, な.らす",カン,心,heart,"na.reru, na.rasu",kan
馴,3,13,"get used to, experienced, tamed","な.れる, な.らす, したが.う","ジュン, シュン, クン",馬,horse,"na.reru, na.rasu, shitaga.u","jun, shun, kun"
荷,3,10,"baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight",に,カ,艸,grass,ni,ka
似,6,7,"becoming, resemble, counterfeit, imitate, suitable","に.る, ひ.る",ジ,人,man,"ni.ru, hi.ru",ji
通,40,10,"traffic, pass through, avenue, commute, counter for letters, notes, documents, etc.","とお.る, とお.り, -とお.り, -どお.り, とお.す, とお.し, -どお.し, かよ.う","ツウ, ツ",辵,walk,"too.ru, too.ri, -too.ri, -doo.ri, too.su, too.shi, -doo.shi, kayo.u","tsuu, tsu"
賑,1,14,"flourish, be bustling, prosperity","にぎ.わい, にぎ.やか, にぎ.わす, にぎ.わう",シン,貝,shell,"nigi.wai, nigi.yaka, nigi.wasu, nigi.wau",shin
憎,4,14,"hate, detest","にく.む, にく.い, にく.らしい, にく.しみ",ゾウ,心,heart,"niku.mu, niku.i, niku.rashii, niku.shimi",zou
肉,8,6,meat,しし,ニク,肉,meat,shishi,niku
親,14,16,"parent, intimacy, relative, familiarity, dealer (cards)","おや, おや-, した.しい, した.しむ",シン,見,see,"oya, oya-, shita.shii, shita.shimu",shin
体,35,7,"body, substance, object, reality, counter for images","からだ, かたち","タイ, テイ",人,man,"karada, katachi","tai, tei"
西,6,6,"west, Spain",にし,"セイ, サイ, ス",西,west,nishi,"sei, sai, su"
日,83,4,"day, sun, Japan, counter for days","ひ, -び, -か","ニチ, ジツ",日,sun,"hi, -bi, -ka","nichi, jitsu"
滲,1,14,imbued with,"し.みる, にじ.む",シン,水,water,"shi.miru, niji.mu",shin
夜,15,8,"night, evening","よ, よる",ヤ,夕,evening,"yo, yoru",ya
造,9,10,"create, make, structure, physique","つく.る, つく.り, -づく.り",ゾウ,辵,walk,"tsuku.ru, tsuku.ri, -zuku.ri",zou
担,6,8,"shouldering, carry, raise, bear","かつ.ぐ, にな.う",タン,手,hand,"katsu.gu, nina.u",tan
関,14,14,"connection, barrier, gateway, involve, concerning","せき, -ぜき, かか.わる, からくり, かんぬき",カン,門,gate,"seki, -zeki, kaka.waru, karakuri, kannuki",kan
浴,5,10,"bathe, be favored with, bask in","あ.びる, あ.びせる",ヨク,水,water,"a.biru, a.biseru",yoku
尿,2,7,urine,"ゆばり, いばり, しと",ニョウ,尸,corpse,"yubari, ibari, shito",nyou
識,6,19,"discriminating, know, write","し.る, しる.す",シキ,言,speech,"shi.ru, shiru.su",shiki
妊,1,7,pregnancy,"はら.む, みごも.る","ニン, ジン",女,woman,"hara.mu, migomo.ru","nin, jin"
娠,1,10,"with child, pregnancy",None,シン,女,woman,None,shin
任,10,6,"responsibility, duty, term, entrust to, appoint","まか.せる, まか.す",ニン,人,man,"maka.seru, maka.su",nin
務,14,11,"task, duties",つと.める,ム,力,power,tsuto.meru,mu
命,15,8,"fate, command, decree, destiny, life, appoint",いのち,"メイ, ミョウ",口,mouth,inochi,"mei, myou"
抜,5,7,"slip out, extract, pull out, pilfer, quote, remove, omit","ぬ.く, -ぬ.く, ぬ.き, ぬ.ける, ぬ.かす, ぬ.かる","バツ, ハツ, ハイ",手,hand,"nu.ku, -nu.ku, nu.ki, nu.keru, nu.kasu, nu.karu","batsu, hatsu, hai"
主,26,5,"lord, chief, master, main thing, principal","ぬし, おも, あるじ","シュ, ス, シュウ",丶,dot,"nushi, omo, aruji","shu, su, shuu"
沼,1,8,"marsh, lake, bog, swamp, pond",ぬま,ショウ,水,water,numa,shou
音,12,9,"sound, noise","おと, ね","オン, イン, -ノン",音,sound,"oto, ne","on, in, -non"
値,7,10,"price, cost, value","ね, あたい",チ,人,man,"ne, atai",chi
打,11,5,"strike, hit, knock, pound, dozen","う.つ, う.ち-, ぶ.つ","ダ, ダース",手,hand,"u.tsu, u.chi-, bu.tsu","da, daーsu"
寝,9,13,"lie down, sleep, rest, bed, remain unsold","ね.る, ね.かす, い.ぬ, みたまや, や.める",シン,宀,roof,"ne.ru, ne.kasu, i.nu, mitamaya, ya.meru",shin
捩,2,10,"screw, twist, wrench, distort","よじ.る, ね.じる, ねじ.れる, もじ.る","レイ, レツ",手,hand,"yoji.ru, ne.jiru, neji.reru, moji.ru","rei, retsu"
妬,2,8,"jealous, envy","ねた.む, そね.む, つも.る, ふさ.ぐ","ト, ツ",女,woman,"neta.mu, sone.mu, tsumo.ru, fusa.gu","to, tsu"
湯,6,12,"hot water, bath, hot spring",ゆ,トウ,水,water,yu,tou
量,8,12,"quantity, measure, weight, amount, consider, estimate, surmise",はか.る,リョウ,里,village,haka.ru,ryou
粘,2,11,"sticky, glutinous, greasy, persevere",ねば.る,ネン,米,rice,neba.ru,nen
練,4,14,"practice, gloss, train, drill, polish, refine","ね.る, ね.り",レン,糸,silk,"ne.ru, ne.ri",ren
念,7,8,"wish, sense, idea, thought, feeling, desire, attention",None,ネン,心,heart,None,nen
賀,2,12,"congratulations, joy",None,ガ,貝,shell,None,ga
願,5,19,"petition, request, vow, wish, hope","ねが.う, -ねがい",ガン,頁,leaf,"nega.u, -negai",gan
号,6,5,"nickname, number, item, title, pseudonym, name, call","さけ.ぶ, よびな",ゴウ,口,mouth,"sake.bu, yobina",gou
燃,4,16,"burn, blaze, glow","も.える, も.やす, も.す",ネン,火,fire,"mo.eru, mo.yasu, mo.su",nen
焼,5,12,"bake, burning","や.く, や.き, や.き-, -や.き, や.ける",ショウ,火,fire,"ya.ku, ya.ki, ya.ki-, -ya.ki, ya.keru",shou
輪,5,15,"wheel, ring, circle, link, loop, counter for wheels and flowers",わ,リン,車,cart,wa,rin
農,10,13,"agriculture, farmers",None,ノウ,辰,morning,None,nou
納,5,10,"settlement, obtain, reap, pay, supply, store","おさ.める, -おさ.める, おさ.まる","ノウ, ナッ, ナ, ナン, トウ",糸,silk,"osa.meru, -osa.meru, osa.maru","nou, na, na, nan, tou"
軒,3,10,"flats, counter for houses, eaves",のき,ケン,車,cart,noki,ken
望,13,11,"ambition, full moon, hope, desire, aspire to, expect","のぞ.む, もち","ボウ, モウ",月,moon,"nozo.mu, mochi","bou, mou"
乗,11,9,"ride, power, multiplication, record, counter for vehicles, board, mount, join","の.る, -の.り, の.せる","ジョウ, ショウ",丿,slash,"no.ru, -no.ri, no.seru","jou, shou"
罵,1,15,"abuse, insult",ののし.る,バ,网,net,nonoshi.ru,ba
延,5,8,"prolong, stretching","の.びる, の.べる, の.べ, の.ばす",エン,廴,long,"no.biru, no.beru, no.be, no.basu",en
飲,5,12,"drink, smoke, take","の.む, -の.み","イン, オン",食,eat,"no.mu, -no.mi","in, on"
刃,1,3,"blade, sword, edge","は, やいば, き.る","ジン, ニン",刀,knife,"ha, yaiba, ki.ru","jin, nin"
把,1,7,"grasp, faggot, bunch, counter for bundles",None,"ハ, ワ",手,hand,None,"ha, wa"
握,3,12,"grip, hold, mould sushi, bribe",にぎ.る,アク,手,hand,nigi.ru,aku
廃,3,12,"abolish, obsolete, cessation, discarding, abandon","すた.れる, すた.る",ハイ,广,house,"suta.reru, suta.ru",hai
棄,3,13,"abandon, throw away, discard, resign, reject, sacrifice",す.てる,キ,木,tree,su.teru,ki
配,14,10,"distribute, spouse, exile, rationing",くば.る,ハイ,酉,wine,kuba.ru,hai
給,10,12,"salary, wage, gift, allow, grant, bestow on","たま.う, たも.う, -たま.え",キュウ,糸,silk,"tama.u, tamo.u, -tama.e",kyuu
偶,5,11,"accidentally, even number, couple, man & wife, same kind",たま,グウ,人,man,tama,guu
者,18,8,"someone, person",もの,シャ,老,old,mono,sha
拝,5,8,"worship, adore, pray to","おが.む, おろが.む",ハイ,手,hand,"oga.mu, oroga.mu",hai
啓,1,11,"disclose, open, say","ひら.く, さと.す",ケイ,口,mouth,"hira.ku, sato.su",kei
背,7,9,"stature, height, back, behind, disobey, defy, go back on, rebel","せ, せい, そむ.く, そむ.ける",ハイ,肉,meat,"se, sei, somu.ku, somu.keru",hai
景,6,12,"scenery, view",None,ケイ,日,sun,None,kei
借,4,10,"borrow, rent",か.りる,シャク,人,man,ka.riru,shaku
排,2,11,"repudiate, exclude, expel, reject, line up, arrange",None,ハイ,手,hand,None,hai
賠,1,15,"compensation, indemnify",None,バイ,貝,shell,None,bai
償,3,17,"reparation, make up for, recompense, redeem",つぐな.う,ショウ,人,man,tsuguna.u,shou
敗,6,11,"failure, defeat, reversal",やぶ.れる,ハイ,攴,rap,yabu.reru,hai
置,10,13,"placement, put, set, deposit, leave behind, keep, employ, pawn","お.く, -お.き",チ,网,net,"o.ku, -o.ki",chi
布,9,5,"linen, cloth, spread, distribute","ぬの, し.く, きれ","フ, ホ",巾,turban,"nuno, shi.ku, kire","fu, ho"
分,48,4,"part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100","わ.ける, わ.け, わ.かれる, わ.かる, わ.かつ","ブン, フン, ブ",刀,knife,"wa.keru, wa.ke, wa.kareru, wa.karu, wa.katsu","bun, fun, bu"
北,4,5,north,きた,ホク,匕,spoon,kita,hoku
倍,2,10,"double, twice, times, fold",None,バイ,人,man,None,bai
慮,3,15,"prudence, thought, concern, consider, deliberate, fear","おもんぱく.る, おもんぱか.る",リョ,心,heart,"omonpaku.ru, omonpaka.ru",ryo
列,8,6,"file, row, rank, tier, column",None,"レツ, レ",刀,knife,None,"retsu, re"
壊,4,16,"demolition, break, destroy","こわ.す, こわ.れる, やぶ.る","カイ, エ",土,earth,"kowa.su, kowa.reru, yabu.ru","kai, e"
一,63,1,"one, one radical (no.1)","ひと-, ひと.つ","イチ, イツ",一,one,"hito-, hito.tsu","ichi, itsu"
概,6,14,"outline, condition, approximation, generally",おおむ.ね,ガイ,木,tree,oomu.ne,gai
著,6,11,"renowned, publish, write, remarkable, phenomenal, put on, don, wear, arrival, finish (race), counter for suits of clothing, literary work","あらわ.す, いちじる.しい","チョ, チャク",艸,grass,"arawa.su, ichijiru.shii","cho, chaku"
面,28,9,"mask, face, features, surface","おも, おもて, つら","メン, ベン",面,face,"omo, omote, tsura","men, ben"
目,39,5,"eye, class, look, insight, experience, care, favor","め, -め, ま-","モク, ボク",目,eye,"me, -me, ma-","moku, boku"
律,3,9,"rhythm, law, regulation, gauge, control",None,"リツ, リチ, レツ",彳,step,None,"ritsu, richi, retsu"
括,2,9,"fasten, tie up, arrest, constrict",くく.る,カツ,手,hand,kuku.ru,katsu
挙,3,10,"raise, plan, project, behavior, actions","あ.げる, あ.がる, こぞ.る",キョ,手,hand,"a.geru, a.garu, kozo.ru",kyo
変,12,9,"unusual, change, strange","か.わる, か.わり, か.える",ヘン,夂,go,"ka.waru, ka.wari, ka.eru",hen
営,5,12,"camp, perform, build, conduct (business)","いとな.む, いとな.み",エイ,口,mouth,"itona.mu, itona.mi",ei
挑,2,9,"challenge, contend for, make love to",いど.む,チョウ,手,hand,ido.mu,chou
稲,2,14,rice plant,"いね, いな-","トウ, テ",禾,grain,"ine, ina-","tou, te"
祈,2,8,"pray, wish",いの.る,キ,示,sign,ino.ru,ki
今,16,4,now,いま,"コン, キン",人,man,ima,"kon, kin"
更,6,7,"grow late, night watch, sit up late, of course, renew, renovate, again, more and more, further","さら, さら.に, ふ.ける, ふ.かす",コウ,曰,say,"sara, sara.ni, fu.keru, fu.kasu",kou
未,10,5,"un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac","いま.だ, ま.だ, ひつじ","ミ, ビ",木,tree,"ima.da, ma.da, hitsuji","mi, bi"
移,6,11,"shift, move, change, drift, catch (cold, fire), pass into","うつ.る, うつ.す",イ,禾,grain,"utsu.ru, utsu.su",i
民,14,5,"people, nation, subjects",たみ,ミン,氏,clan,tami,min
嫌,7,13,"dislike, detest, hate","きら.う, きら.い, いや","ケン, ゲン",女,woman,"kira.u, kira.i, iya","ken, gen"
卑,2,9,"lowly, base, vile, vulgar, despise","いや.しい, いや.しむ, いや.しめる",ヒ,十,ten,"iya.shii, iya.shimu, iya.shimeru",hi
欲,7,11,"longing, covetousness, greed, passion, desire, craving","ほっ.する, ほ.しい",ヨク,欠,lack,"ho.suru, ho.shii",yoku
衣,6,6,"garment, clothes, dressing","ころも, きぬ, -ぎ","イ, エ",衣,clothes,"koromo, kinu, -gi","i, e"
類,9,18,"sort, kind, variety, class, genus",たぐ.い,ルイ,頁,leaf,tagu.i,rui
異,9,11,"uncommon, different, queerness, strangeness, wonderful, curious, unusual","こと, こと.なる, け",イ,田,field,"koto, koto.naru, ke",i
印,7,6,"stamp, seal, mark, imprint, symbol, emblem, trademark, evidence, souvenir, India","しるし, -じるし, しる.す",イン,卩,kneel,"shirushi, -jirushi, shiru.su",in
鑑,4,23,"specimen, take warning from, learn from","かんが.みる, かがみ",カン,金,metal,"kanga.miru, kagami",kan
陰,4,11,"shade, yin, negative, sex organs, secret, shadow","かげ, かげ.る",イン,dam,mound,"kage, kage.ru",in
隠,3,14,"conceal, hide, cover","かく.す, かく.し, かく.れる, よ.る","イン, オン",dam,mound,"kaku.su, kaku.shi, kaku.reru, yo.ru","in, on"
受,17,8,"accept, undergo, answer (phone), take, get, catch, receive","う.ける, -う.け, う.かる",ジュ,又,right,"u.keru, -u.ke, u.karu",ju
継,6,13,"inherit, succeed, continue, patch, graft (tree)","つ.ぐ, まま-",ケイ,糸,silk,"tsu.gu, mama-",kei
持,12,9,"hold, have","も.つ, -も.ち, も.てる",ジ,手,hand,"mo.tsu, -mo.chi, mo.teru",ji
埋,6,10,"bury, be filled up, embedded","う.める, う.まる, う.もれる, うず.める, うず.まる, い.ける",マイ,土,earth,"u.meru, u.maru, u.moreru, uzu.meru, uzu.maru, i.keru",mai
嘘,2,14,"lie, falsehood","うそ, ふ.く","キョ, コ",口,mouth,"uso, fu.ku","kyo, ko"
消,15,10,"extinguish, blow out, turn off, neutralize, cancel","き.える, け.す",ショウ,水,water,"ki.eru, ke.su",shou
扇,4,10,"fan, folding fan",おうぎ,セン,戶,door,ougi,sen
訳,10,11,"translate, reason, circumstance, case",わけ,ヤク,言,speech,wake,yaku
写,9,5,"copy, be photographed, describe","うつ.す, うつ.る, うつ-, うつ.し","シャ, ジャ",冖,cover,"utsu.su, utsu.ru, utsu-, utsu.shi","sha, ja"
訴,3,12,"accusation, sue, complain of pain, appeal to",うった.える,ソ,言,speech,utta.eru,so
空,20,8,"empty, sky, void, vacant, vacuum","そら, あ.く, あ.き, あ.ける, から, す.く, す.かす, むな.しい",クウ,穴,cave,"sora, a.ku, a.ki, a.keru, kara, su.ku, su.kasu, muna.shii",kuu
器,18,15,"utensil, vessel, receptacle, implement, instrument, ability, container, tool, set",うつわ,キ,口,mouth,utsuwa,ki
腕,2,12,"arm, ability, talent",うで,ワン,肉,meat,ude,wan
前,25,9,"in front, before","まえ, -まえ",ゼン,刀,knife,"mae, -mae",zen
雨,6,8,rain,"あめ, あま-, -さめ",ウ,雨,rain,"ame, ama-, -same",u
天,15,4,"heavens, sky, imperial","あまつ, あめ, あま-",テン,大,big,"amatsu, ame, ama-",ten
促,3,9,"stimulate, urge, press, demand, incite",うなが.す,ソク,人,man,unaga.su,soku
梅,4,10,plum,うめ,バイ,木,tree,ume,bai
干,6,3,"dry, parch, ebb, recede, interfere, intercede","ほ.す, ほ.し-, -ぼ.し, ひ.る",カン,干,pestle,"ho.su, ho.shi-, -bo.shi, hi.ru",kan
裏,5,13,"back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side",うら,リ,衣,clothes,ura,ri
返,15,7,"return, answer, fade, repay","かえ.す, -かえ.す, かえ.る, -かえ.る",ヘン,辵,walk,"kae.su, -kae.su, kae.ru, -kae.ru",hen
潤,2,15,"wet, be watered, profit by, receive benefits, favor, charm, steep","うるお.う, うるお.す, うる.む",ジュン,水,water,"uruo.u, uruo.su, uru.mu",jun
浮,5,10,"floating, float, rise to surface","う.く, う.かれる, う.かぶ, う.かべる",フ,水,water,"u.ku, u.kareru, u.kabu, u.kaberu",fu
植,6,12,plant,"う.える, う.わる",ショク,木,tree,"u.eru, u.waru",shoku
運,17,12,"carry, luck, destiny, fate, lot, transport, progress, advance",はこ.ぶ,ウン,辵,walk,hako.bu,un
送,12,9,"escort, send",おく.る,ソウ,辵,walk,oku.ru,sou
賃,3,13,"fare, fee, hire, rent, wages, charge",None,チン,貝,shell,None,chin
云,1,4,say,"い.う, ここに",ウン,二,two,"i.u, kokoni",un
搬,1,13,"conveyor, carry, transport",None,ハン,手,hand,None,han
輸,5,16,"transport, send, be inferior",None,"ユ, シュ",車,cart,None,"yu, shu"
英,6,8,"England, English, hero, outstanding, calyx",はなぶさ,エイ,艸,grass,hanabusa,ei
字,16,6,"character, letter, word, section of village","あざ, あざな, -な",ジ,子,child,"aza, azana, -na",ji
映,8,9,"reflect, reflection, projection","うつ.る, うつ.す, は.える, -ば.え",エイ,日,sun,"utsu.ru, utsu.su, ha.eru, -ba.e",ei
雄,2,12,"masculine, male, hero, leader, superiority, excellence","お-, おす, おん",ユウ,隹,small,"o-, osu, on",yuu
液,4,11,"fluid, liquid, juice, sap, secretion",None,エキ,水,water,None,eki
閲,1,15,"review, inspection, revision",けみ.する,エツ,門,gate,kemi.suru,etsu
覧,5,17,"perusal, see",み.る,ラン,見,see,mi.ru,ran
獲,3,16,"seize, get, find, earn, acquire, can, may, able to",え.る,カク,犬,dog,e.ru,kaku
襟,1,18,"collar, neck, lapel, one's inner feelings",えり,キン,衣,clothes,eri,kin
円,9,4,"circle, yen, round","まる.い, まる, まど, まど.か, まろ.やか",エン,冂,open,"maru.i, maru, mado, mado.ka, maro.yaka",en
縁,5,15,"affinity, relation, connection, edge, border, verge, brink","ふち, ふち.どる, ゆかり, よすが, へり, えにし","エン, -ネン",糸,silk,"fuchi, fuchi.doru, yukari, yosuga, heri, enishi","en, -nen"
側,4,11,"side, lean, oppose, regret","かわ, がわ, そば",ソク,人,man,"kawa, gawa, soba",soku
沿,4,8,"run alongside, follow along, run along, lie along","そ.う, -ぞ.い",エン,水,water,"so.u, -zo.i",en
岸,3,8,beach,きし,ガン,山,mountain,kishi,gan
婉,1,11,graceful,"うつく.しい, したが.う",エン,女,woman,"utsuku.shii, shitaga.u",en
曲,6,6,"bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean","ま.がる, ま.げる, くま",キョク,曰,say,"ma.garu, ma.geru, kuma",kyoku
演,12,14,"performance, act, play, render, stage",None,エン,水,water,None,en
線,16,15,"line, track",すじ,セン,糸,silk,suji,sen
方,31,4,"direction, person, alternative","かた, -かた, -がた",ホウ,方,square,"kata, -kata, -gata",hou
満,10,12,"full, fullness, enough, satisfy","み.ちる, み.つ, み.たす","マン, バン",水,water,"mi.chiru, mi.tsu, mi.tasu","man, ban"
追,10,9,"chase, drive away, follow, pursue, meanwhile",お.う,ツイ,辵,walk,o.u,tsui
於,1,8,"at, in, on, as for","おい.て, お.ける, ああ, より","オ, ヨ",方,square,"oi.te, o.keru, aa, yori","o, yo"
老,5,6,"old man, old age, grow old","お.いる, ふ.ける",ロウ,老,old,"o.iru, fu.keru",rou
応,14,7,"apply, answer, yes, OK, reply, accept","あた.る, まさに, こた.える","オウ, ヨウ, -ノウ",心,heart,"ata.ru, masani, kota.eru","ou, you, -nou"
急,14,9,"hurry, emergency, sudden, steep","いそ.ぐ, いそ.ぎ, せ.く",キュウ,心,heart,"iso.gu, iso.gi, se.ku",kyuu
黄,3,11,yellow,"き, こ-","コウ, オウ",黃,yellow,"ki, ko-","kou, ou"
往,2,8,"journey, travel, chase away, let go, going, before, formerly","い.く, いにしえ, さき.に, ゆ.く",オウ,彳,step,"i.ku, inishie, saki.ni, yu.ku",ou
診,7,12,"checkup, seeing, diagnose, examine",み.る,シン,言,speech,mi.ru,shin
大,63,3,"large, big","おお-, おお.きい, -おお.いに","ダイ, タイ",大,big,"oo-, oo.kii, -oo.ini","dai, tai"
筋,5,12,"muscle, sinew, tendon, fiber, plot, plan, descent",すじ,キン,竹,bamboo,suji,kin
幅,2,12,"hanging scroll, width",はば,フク,巾,turban,haba,fuku
犯,4,5,"crime, sin, offense",おか.す,"ハン, ボン",犬,dog,oka.su,"han, bon"
侵,3,9,"encroach, invade, raid, trespass, violate",おか.す,シン,人,man,oka.su,shin
臆,1,17,"timidity, heart, mind, fear, cowardly","むね, おくする","オク, ヨク",肉,meat,"mune, okusuru","oku, yoku"
病,7,10,"ill, sick","や.む, -や.み, やまい","ビョウ, ヘイ",疒,sickness,"ya.mu, -ya.mi, yamai","byou, hei"
遅,7,12,"slow, late, back, later","おく.れる, おく.らす, おそ.い",チ,辵,walk,"oku.reru, oku.rasu, oso.i",chi
収,13,4,"income, obtain, reap, pay, supply, store","おさ.める, おさ.まる",シュウ,又,right,"osa.meru, osa.maru",shuu
治,9,8,"reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve","おさ.める, おさ.まる, なお.る, なお.す","ジ, チ",水,water,"osa.meru, osa.maru, nao.ru, nao.su","ji, chi"
押,7,8,"push, stop, check, subdue, attach, seize, weight, shove, press, seal, do in spite of","お.す, お.し-, お.っ-, お.さえる, おさ.える",オウ,手,hand,"o.su, o.shi-, o.-, o.saeru, osa.eru",ou
惜,2,11,"pity, be sparing of, frugal, stingy, regret","お.しい, お.しむ",セキ,心,heart,"o.shii, o.shimu",seki
御,11,12,"honorable, manipulate, govern","おん-, お-, み-","ギョ, ゴ",彳,step,"on-, o-, mi-","gyo, go"
世,15,5,"generation, world, society, public",よ,"セイ, セ, ソウ",一,one,yo,"sei, se, sou"
辞,8,13,"resign, word, term, expression","や.める, いな.む",ジ,辛,bitter,"ya.meru, ina.mu",ji
襲,2,22,"attack, advance on, succeed to, pile, heap","おそ.う, かさ.ね",シュウ,衣,clothes,"oso.u, kasa.ne",shuu
恐,7,10,"fear, dread, awe","おそ.れる, おそ.る, おそ.ろしい, こわ.い, こわ.がる",キョウ,心,heart,"oso.reru, oso.ru, oso.roshii, kowa.i, kowa.garu",kyou
落,16,12,"fall, drop, come down, village, hamlet","お.ちる, お.ち, お.とす",ラク,艸,grass,"o.chiru, o.chi, o.tosu",raku
着,28,12,"don, arrive, wear, counter for suits of clothing","き.る, き.せる, つ.く, つ.ける","チャク, ジャク",目,eye,"ki.ru, ki.seru, tsu.ku, tsu.keru","chaku, jaku"
葉,7,12,"leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece",は,ヨウ,艸,grass,ha,you
乙,1,1,"the latter, duplicate, strange, witty, fishhook radical (no. 5)","おと-, きのと","オツ, イツ",乛,second,"oto-, kinoto","otsu, itsu"
使,8,8,"use, send on a mission, order, messenger, envoy, ambassador, cause","つか.う, つか.い, -つか.い, -づか.い",シ,人,man,"tsuka.u, tsuka.i, -tsuka.i, -zuka.i",shi
脅,4,10,"threaten, coerce","おびや.かす, おど.す, おど.かす",キョウ,肉,meat,"obiya.kasu, odo.su, odo.kasu",kyou
訪,3,11,"call on, visit, look up, offer sympathy","おとず.れる, たず.ねる, と.う",ホウ,言,speech,"otozu.reru, tazu.neru, to.u",hou
供,5,8,"submit, offer, present, serve (meal), accompany","そな.える, とも, -ども","キョウ, ク, クウ, グ",人,man,"sona.eru, tomo, -domo","kyou, ku, kuu, gu"
衰,2,10,"decline, wane, weaken",おとろ.える,スイ,衣,clothes,otoro.eru,sui
怯,2,8,"cowardice, wince, flinch, hesitate, waver","ひる.む, おびえ.る, おじる, おび.える, おそ.れる","キョウ, コウ",心,heart,"hiru.mu, obie.ru, ojiru, obi.eru, oso.reru","kyou, kou"
帯,11,10,"sash, belt, obi, zone, region","お.びる, おび",タイ,巾,turban,"o.biru, obi",tai
袋,5,11,"sack, bag, pouch",ふくろ,"タイ, ダイ",衣,clothes,fukuro,"tai, dai"
宮,2,10,"Shinto shrine, constellations, palace, princess",みや,"キュウ, グウ, ク, クウ",宀,roof,miya,"kyuu, guu, ku, kuu"
思,15,9,think,"おも.う, おもえら.く, おぼ.す",シ,心,heart,"omo.u, omoera.ku, obo.su",shi
趣,3,15,"purport, gist, elegance, interest, proceed to, tend, become","おもむき, おもむ.く",シュ,走,run,"omomuki, omomu.ku",shu
赴,2,9,"proceed, get, become, tend",おもむ.く,フ,走,run,omomu.ku,fu
重,26,9,"heavy, important, esteem, respect, heap up, pile up, nest of boxes, -fold","え, おも.い, おも.り, おも.なう, かさ.ねる, かさ.なる, おも","ジュウ, チョウ",里,village,"e, omo.i, omo.ri, omo.nau, kasa.neru, kasa.naru, omo","juu, chou"
父,13,4,father,ちち,フ,父,father,chichi,fu
及,5,3,"reach out, exert, exercise, cause","およ.ぶ, およ.び, および, およ.ぼす",キュウ,又,right,"oyo.bu, oyo.bi, oyobi, oyo.bosu",kyuu
檻,1,19,"pen, corral, cell, jail","おり, おばしま, てすり",カン,木,tree,"ori, obashima, tesuri",kan
織,3,18,"weave, fabric","お.る, お.り, おり, -おり, -お.り","ショク, シキ",糸,silk,"o.ru, o.ri, ori, -ori, -o.ri","shoku, shiki"
俺,1,10,"I, myself","おれ, われ",エン,人,man,"ore, ware",en
愚,2,13,"foolish, folly, absurdity, stupid",おろ.か,グ,心,heart,oro.ka,gu
界,4,9,"world, boundary",None,カイ,田,field,None,kai
街,5,12,"boulevard, street, town",まち,"ガイ, カイ",行,go,machi,"gai, kai"
改,13,7,"reformation, change, modify, mend, renew, examine, inspect, search","あらた.める, あらた.まる",カイ,攴,rap,"arata.meru, arata.maru",kai
悪,10,11,"bad, vice, rascal, false, evil, wrong","わる.い, わる-, あ.し, にく.い, -にく.い, ああ, いずくに, いずくんぞ, にく.む","アク, オ",心,heart,"waru.i, waru-, a.shi, niku.i, -niku.i, aa, izukuni, izukunzo, niku.mu","aku, o"
海,12,9,"sea, ocean",うみ,カイ,水,water,umi,kai
外,30,5,outside,"そと, ほか, はず.す, はず.れる, と-","ガイ, ゲ",夕,evening,"soto, hoka, hazu.su, hazu.reru, to-","gai, ge"
革,6,9,"leather, skin, reform, become serious",かわ,カク,革,leather,kawa,kaku
貝,3,7,shellfish,かい,バイ,貝,shell,kai,bai
殻,3,11,"husk, nut shell","から, がら","カク, コク, バイ",殳,weapon,"kara, gara","kaku, koku, bai"
観,14,18,"outlook, look, appearance, condition, view","み.る, しめ.す",カン,見,see,"mi.ru, shime.su",kan
階,5,12,"storey, stair, counter for storeys of a building",きざはし,カイ,dam,mound,kizahashi,kai
級,8,9,"class, rank, grade",None,キュウ,糸,silk,None,kyuu
峡,1,9,"gorge, ravine",はざま,"キョウ, コウ",山,mountain,hazama,"kyou, kou"
介,5,4,"jammed in, shellfish, mediate, concern oneself with",None,カイ,人,man,None,kai
開,14,12,"open, unfold, unseal","ひら.く, ひら.き, -びら.き, ひら.ける, あ.く, あ.ける",カイ,門,gate,"hira.ku, hira.ki, -bira.ki, hira.keru, a.ku, a.keru",kai
催,5,13,"sponsor, hold (a meeting), give (a dinner)","もよう.す, もよお.す",サイ,人,man,"moyou.su, moyoo.su",sai
修,11,10,"discipline, conduct oneself well, study, master","おさ.める, おさ.まる","シュウ, シュ",人,man,"osa.meru, osa.maru","shuu, shu"
